Realizada,Resolvida,Descrição,Tipo,Cotações,Valor Apostado (R$),Risco (R$),Lucro/Perda,Status
01-jul-26 13:05:22,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433827038385 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,15.50,22.97, 333.06 , 22.97 ,Ganhas
01-jul-26 13:14:37,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433828367208 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,5.70,63.58, -- , -63.58 ,Perdidas
01-jul-26 13:18:53,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829024105 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,5.20,17.05, 71.61 , 17.05 ,Ganhas
01-jul-26 13:18:55,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829027516 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,5.20,17.44, 73.25 , 17.44 ,Ganhas
01-jul-26 13:18:55,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829028376 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,5.10,17.86, 73.23 , 17.86 ,Ganhas
01-jul-26 13:19:03,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829048393 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,5.00,53.89, -- , -53.89 ,Perdidas
01-jul-26 13:19:04,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829050649 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,5.00,75.00, -- , -75.00 ,Perdidas
01-jul-26 13:19:06,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829053229 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,5.00,75.00, -- , -75.00 ,Perdidas
01-jul-26 13:19:06,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829055628 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,5.00,75.00, -- , -75.00 ,Perdidas
01-jul-26 13:19:10,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829063994 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,5.00,75.00, -- , -75.00 ,Perdidas
01-jul-26 13:19:54,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829172631 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,5.00,301.08," 1,204.32 ", 301.08 ,Ganhas
01-jul-26 13:20:23,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829251796 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.80,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:20:24,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829254610 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.70,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:21:33,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829415753 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.50,50.53, 176.86 , 50.53 ,Ganhas
01-jul-26 13:21:39,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829430588 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.40,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:21:39,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829431633 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.50,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:21:54,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829467248 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.50,51.69, 180.92 , 51.69 ,Ganhas
01-jul-26 13:22:29,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829547104 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.30,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:22:29,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829547833 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.30,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:22:30,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433829549239 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.40,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:25:59,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433830037460 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.20,77.38, 247.62 , 77.38 ,Ganhas
01-jul-26 13:26:35,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433830122470 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.20,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:27:54,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433830297405 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.40,23.86, 81.12 , 23.86 ,Ganhas
01-jul-26 13:28:10,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433830336862 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.20,25.00, -- , -25.00 ,Perdidas
01-jul-26 13:29:52,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433830561521 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.40,23.87, 81.16 , 23.87 ,Ganhas
01-jul-26 13:35:13,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433831323423 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.50,7.14, 24.99 , 7.14 ,Ganhas
01-jul-26 13:35:24,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433831350254 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.50,7.14, 24.99 , 7.14 ,Ganhas
01-jul-26 13:36:22,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433831500509 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.40,14.61, -- , -14.61 ,Perdidas
01-jul-26 13:37:06,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433831616101 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.40,7.35, 24.99 , 7.35 ,Ganhas
01-jul-26 13:37:26,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433831661736 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,A favor,4.20,7.70, -- , -7.70 ,Perdidas
01-jul-26 13:37:58,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433831738813 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.60,6.94, 24.98 , 6.94 ,Ganhas
01-jul-26 13:38:19,01-jul-26 15:01:12,Inglaterra x RD Congo RD Congo-Resultado da partida | ID Aposta Betfair 1:433831797447 | Evento 01-jul-26 13:00 | Dispositivo Traderline Desktop,Contra,4.60,6.94, 24.98 , 6.94 ,Ganhas
